CIRCULATION ACTIVITY by ITEM LOCATION (Sep 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
zread|24|24|0|0|48|      0.1%|
zres |666|633|0|1|1300|      1.7%|
zroom|2274|2150|0|0|4424|      5.7%|
zstor|32|7|3|0|42|      0.1%|
ztwr |4|7|0|0|11|      0.0%|
zww  |34|13|0|0|47|      0.1%|
2res |0|1|0|0|1|      0.0%|
3arch|2|0|0|0|2|      0.0%|
3cd  |7|12|0|0|19|      0.0%|
3dvd |734|699|2|0|1435|      1.8%|
3dvdx|1|2|0|0|3|      0.0%|
3gc  |622|260|4|0|886|      1.1%|
3govt|4|3|0|0|7|      0.0%|
3ovs |5|3|0|0|8|      0.0%|
3ref |1|0|0|0|1|      0.0%|
3res |654|621|0|0|1275|      1.6%|
3sdoc|1|0|0|0|1|      0.0%|
3spec|1|0|0|0|1|      0.0%|
3thes|9|7|0|0|16|      0.0%|
3vert|48|38|1|0|87|      0.1%|
6av  |3|2|0|0|5|      0.0%|
6clas|176|176|0|0|352|      0.5%|
6desk|12|8|0|0|20|      0.0%|
6faco|1|1|0|0|2|      0.0%|
6ind |16|2|0|0|18|      0.0%|
6land|0|1|0|0|1|      0.0%|
6latn|1|0|0|0|1|      0.0%|
6lrfl|191|106|4|1|302|      0.4%|
6nmex|13|5|1|0|19|      0.0%|
6ref |4|3|0|0|7|      0.0%|
6refp|12|7|0|0|19|      0.0%|
6stor|2|0|0|0|2|      0.0%|
6uftr|9|0|0|0|9|      0.0%|
6upfl|3|0|0|0|3|      0.0%|
7ave |201|199|0|0|400|      0.5%|
7dvd |11|4|0|0|15|      0.0%|
7gc  |89|57|0|0|146|      0.2%|
7res |34|34|0|0|68|      0.1%|
8agen|5|1|0|0|6|      0.0%|
8avid|4|2|0|0|6|      0.0%|
8gen |13|6|0|0|19|      0.0%|
8ref |1|1|0|0|2|      0.0%|
8vid |1|1|0|0|2|      0.0%|
Blank Branch|1|1|5|0|7|      0.0%|
Total|44577|32664|559|300|78100|    100.0%|
