CIRCULATION ACTIVITY by ITEM LOCATION (Jun 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
3vert|37|27|0|0|64|      0.1%|
6av  |11|1|0|0|12|      0.0%|
6clas|21|20|1|0|42|      0.1%|
6desk|8|2|0|0|10|      0.0%|
6ind |12|4|0|0|16|      0.0%|
6latn|0|2|0|0|2|      0.0%|
6lrfl|589|116|0|1|706|      1.6%|
6nmex|0|1|0|0|1|      0.0%|
6ref |4|0|0|0|4|      0.0%|
6refp|1|0|0|0|1|      0.0%|
6stor|4|0|0|0|4|      0.0%|
6uftr|23|14|0|0|37|      0.1%|
6upfl|20|3|0|0|23|      0.1%|
7ave |177|177|0|0|354|      0.8%|
7cd  |0|2|0|0|2|      0.0%|
7dvd |1|4|0|0|5|      0.0%|
7gc  |26|25|0|0|51|      0.1%|
7ovs |1|1|0|0|2|      0.0%|
7res |2|2|0|0|4|      0.0%|
7vid |2|0|0|0|2|      0.0%|
8agen|13|2|0|9|24|      0.1%|
8avid|7|1|0|0|8|      0.0%|
8gen |7|1|0|0|8|      0.0%|
8vid |3|2|0|0|5|      0.0%|
Blank Branch|0|0|3|0|3|      0.0%|
Total|25373|18948|292|161|44774|    100.0%|
