CIRCULATION ACTIVITY by ITEM LOCATION (Feb 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
zper0|2|0|0|0|2|      0.0%|
zpww |65|25|2|0|92|      0.1%|
zread|47|44|0|0|91|      0.1%|
zref |1|0|0|0|1|      0.0%|
zref1|1|1|0|0|2|      0.0%|
zres |677|668|0|0|1345|      1.9%|
zroom|2011|1891|0|0|3902|      5.5%|
zstor|13|4|6|0|23|      0.0%|
ztwr |1|3|1|0|5|      0.0%|
zww  |13|9|2|0|24|      0.0%|
3cd  |5|1|0|0|6|      0.0%|
3dvd |635|617|0|0|1252|      1.8%|
3dvdx|2|1|0|0|3|      0.0%|
3gc  |539|269|8|1|817|      1.2%|
3govm|0|1|0|0|1|      0.0%|
3govt|6|2|0|0|8|      0.0%|
3maps|1|1|0|0|2|      0.0%|
3ovs |0|1|0|0|1|      0.0%|
3ref |3|1|0|0|4|      0.0%|
3res |523|505|0|0|1028|      1.5%|
3spnm|2|2|0|0|4|      0.0%|
3thes|6|1|0|0|7|      0.0%|
3vert|26|27|0|0|53|      0.1%|
6av  |0|1|0|1|2|      0.0%|
6clas|154|147|0|0|301|      0.4%|
6comp|4|1|0|0|5|      0.0%|
6desk|1|0|0|0|1|      0.0%|
6ind |13|2|0|0|15|      0.0%|
6latn|3|3|0|0|6|      0.0%|
6lrfl|94|68|1|2|165|      0.2%|
6nmex|5|1|0|0|6|      0.0%|
6ref |7|6|0|0|13|      0.0%|
6refp|4|0|0|0|4|      0.0%|
6uftr|1|5|0|0|6|      0.0%|
7ave |108|105|0|0|213|      0.3%|
7gc  |22|24|0|0|46|      0.1%|
7ovs |0|6|0|0|6|      0.0%|
7res |7|7|0|0|14|      0.0%|
8agen|11|2|0|0|13|      0.0%|
8gen |19|7|0|0|26|      0.0%|
Blank Branch|1|1|2|0|4|      0.0%|
Total|40230|29834|409|360|70833|    100.0%|
